# CarANC Session Log
# format=jsonl
# vehicle=skoda Octavia 2019
# scenario=行駛中
# phonePlacement=中控下方
# connectionType=usb androidauto
# ---
{"ts":1781739456137,"phase":"session_start","vehicleModel":"skoda Octavia 2019","scenario":"行駛中","phonePlacement":"中控下方","connectionType":"usb androidauto","deviceModel":"Pixel 10 Pro Fold","deviceManufacturer":"Google","androidRelease":"17","sdkInt":37,"productName":"CarANC","subscriptionPlan":"pro_monthly","subscriptionLabel":"專業版（月訂）","safetyConsentAccepted":true}
{"ts":1781739456137,"phase":"service_start","subscriptionPlan":"pro_monthly","mimoEnabled":true,"obdEnabled":true}
{"ts":1781739456185,"phase":"aa_connected","connectionType":2}
{"ts":1781739600449,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-71.35602,"cancelledDb":-77.31229,"reductionDb":5.9562683,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.06851487,"bandMidRatio":0.056299254,"bandHighRatio":0.8751859,"bandConfidence":0.806671,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.13033041,"speedValid":true,"speedAccuracyM":6.207,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739600452,"phase":"bump_detected","blockRms":0.04228139,"frozen":true}
{"ts":1781739600455,"phase":"bump_detected","blockRms":0.05025647,"frozen":true}
{"ts":1781739600835,"phase":"bump_detected","blockRms":0.052967466,"frozen":true}
{"ts":1781739600852,"phase":"bump_detected","blockRms":0.07003761,"frozen":true}
{"ts":1781739601824,"phase":"bump_detected","blockRms":0.04780966,"frozen":true}
{"ts":1781739601945,"phase":"bump_detected","blockRms":0.06943012,"frozen":true}
{"ts":1781739601953,"phase":"bump_detected","blockRms":0.028655102,"frozen":true}
{"ts":1781739601971,"phase":"bump_detected","blockRms":0.09046537,"frozen":true}
{"ts":1781739601974,"phase":"bump_detected","blockRms":0.06495013,"frozen":true}
{"ts":1781739601985,"phase":"bump_detected","blockRms":0.10110713,"frozen":true}
{"ts":1781739601988,"phase":"bump_detected","blockRms":0.10893412,"frozen":true}
{"ts":1781739601993,"phase":"bump_detected","blockRms":0.41853288,"frozen":true}
{"ts":1781739601997,"phase":"bump_detected","blockRms":0.57595205,"frozen":true}
{"ts":1781739602002,"phase":"bump_detected","blockRms":0.41936743,"frozen":true}
{"ts":1781739602229,"phase":"bump_detected","blockRms":0.097797565,"frozen":true}
{"ts":1781739602291,"phase":"bump_detected","blockRms":0.09365199,"frozen":true}
{"ts":1781739602293,"phase":"bump_detected","blockRms":0.09243162,"frozen":true}
{"ts":1781739602337,"phase":"bump_detected","blockRms":0.050981585,"frozen":true}
{"ts":1781739602341,"phase":"bump_detected","blockRms":0.12760091,"frozen":true}
{"ts":1781739602345,"phase":"bump_detected","blockRms":0.08082477,"frozen":true}
{"ts":1781739602350,"phase":"bump_detected","blockRms":0.11608049,"frozen":true}
{"ts":1781739602351,"phase":"bump_detected","blockRms":0.22116314,"frozen":true}
{"ts":1781739602352,"phase":"bump_detected","blockRms":0.13609296,"frozen":true}
{"ts":1781739602354,"phase":"bump_detected","blockRms":0.21062076,"frozen":true}
{"ts":1781739602356,"phase":"bump_detected","blockRms":0.2384807,"frozen":true}
{"ts":1781739602363,"phase":"bump_detected","blockRms":0.2984074,"frozen":true}
{"ts":1781739602366,"phase":"bump_detected","blockRms":0.66109765,"frozen":true}
{"ts":1781739602368,"phase":"bump_detected","blockRms":0.5684881,"frozen":true}
{"ts":1781739602512,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-76.74515,"cancelledDb":-76.74515,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.011148155,"bandMidRatio":0.010781747,"bandHighRatio":0.9780701,"bandConfidence":0.9669219,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":29.148163,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.12373147,"speedValid":true,"speedAccuracyM":6.505,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739602954,"phase":"bump_detected","blockRms":0.042597953,"frozen":true}
{"ts":1781739602958,"phase":"bump_detected","blockRms":0.09426801,"frozen":true}
{"ts":1781739602963,"phase":"bump_detected","blockRms":0.048856933,"frozen":true}
{"ts":1781739603120,"phase":"bump_detected","blockRms":0.09771823,"frozen":true}
{"ts":1781739603125,"phase":"bump_detected","blockRms":0.14629157,"frozen":true}
{"ts":1781739603135,"phase":"bump_detected","blockRms":0.0805761,"frozen":true}
{"ts":1781739603314,"phase":"bump_detected","blockRms":0.058734566,"frozen":true}
{"ts":1781739603341,"phase":"bump_detected","blockRms":0.12457815,"frozen":true}
{"ts":1781739603356,"phase":"bump_detected","blockRms":0.100978024,"frozen":true}
{"ts":1781739603377,"phase":"bump_detected","blockRms":0.18689401,"frozen":true}
{"ts":1781739603393,"phase":"bump_detected","blockRms":0.59136176,"frozen":true}
{"ts":1781739603422,"phase":"bump_detected","blockRms":0.46816337,"frozen":true}
{"ts":1781739603432,"phase":"bump_detected","blockRms":0.40992334,"frozen":true}
{"ts":1781739603502,"phase":"bump_detected","blockRms":0.61197245,"frozen":true}
{"ts":1781739604196,"phase":"bump_detected","blockRms":0.09386066,"frozen":true}
{"ts":1781739604213,"phase":"bump_detected","blockRms":0.13232185,"frozen":true}
{"ts":1781739604214,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-69.90063,"cancelledDb":-69.90063,"reductionDb":0.0,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":317.33334,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1482,"suggestedObserveSec":0}
{"ts":1781739604648,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-73.1962,"cancelledDb":-73.1962,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.07336814,"bandMidRatio":0.06956357,"bandHighRatio":0.8570683,"bandConfidence":0.78370017,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":23.450611,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.079188146,"speedValid":true,"speedAccuracyM":6.224,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739604960,"phase":"bump_detected","blockRms":0.0953776,"frozen":true}
{"ts":1781739604966,"phase":"bump_detected","blockRms":0.14708926,"frozen":true}
{"ts":1781739605002,"phase":"bump_detected","blockRms":0.07506243,"frozen":true}
{"ts":1781739605009,"phase":"bump_detected","blockRms":0.084128514,"frozen":true}
{"ts":1781739605027,"phase":"bump_detected","blockRms":0.29951328,"frozen":true}
{"ts":1781739605028,"phase":"bump_detected","blockRms":0.7197612,"frozen":true}
{"ts":1781739605031,"phase":"bump_detected","blockRms":0.5058693,"frozen":true}
{"ts":1781739605268,"phase":"bump_detected","blockRms":0.23669101,"frozen":true}
{"ts":1781739605301,"phase":"bump_detected","blockRms":0.3783951,"frozen":true}
{"ts":1781739605307,"phase":"bump_detected","blockRms":0.32505506,"frozen":true}
{"ts":1781739605568,"phase":"bump_detected","blockRms":0.14039944,"frozen":true}
{"ts":1781739606321,"phase":"bump_detected","blockRms":0.22459921,"frozen":true}
{"ts":1781739606344,"phase":"bump_detected","blockRms":0.22176298,"frozen":true}
{"ts":1781739606356,"phase":"bump_detected","blockRms":0.19159804,"frozen":true}
{"ts":1781739606364,"phase":"bump_detected","blockRms":0.2813708,"frozen":true}
{"ts":1781739606371,"phase":"bump_detected","blockRms":0.4553918,"frozen":true}
{"ts":1781739606377,"phase":"bump_detected","blockRms":0.61057276,"frozen":true}
{"ts":1781739606396,"phase":"bump_detected","blockRms":0.6711175,"frozen":true}
{"ts":1781739606628,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-69.01472,"cancelledDb":-69.01472,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.09532824,"bandMidRatio":0.069099285,"bandHighRatio":0.8355725,"bandConfidence":0.74024427,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":14.061447,"mediaCorrelation":-0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.079188146,"speedValid":true,"speedAccuracyM":6.224,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739607101,"phase":"bump_detected","blockRms":0.34887645,"frozen":true}
{"ts":1781739607697,"phase":"bump_detected","blockRms":0.2358103,"frozen":true}
{"ts":1781739608273,"phase":"bump_detected","blockRms":0.19313407,"frozen":true}
{"ts":1781739608300,"phase":"bump_detected","blockRms":0.1478083,"frozen":true}
{"ts":1781739608341,"phase":"bump_detected","blockRms":0.23278168,"frozen":true}
{"ts":1781739608384,"phase":"bump_detected","blockRms":0.23288147,"frozen":true}
{"ts":1781739608617,"phase":"bump_detected","blockRms":0.0866513,"frozen":true}
{"ts":1781739608653,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-21.244497,"cancelledDb":-21.244497,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.013198801,"bandMidRatio":0.010025378,"bandHighRatio":0.97677577,"bandConfidence":0.963577,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.040544335,"speedValid":true,"speedAccuracyM":5.612,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739609033,"phase":"bump_detected","blockRms":0.1374656,"frozen":true}
{"ts":1781739609044,"phase":"bump_detected","blockRms":0.11814926,"frozen":true}
{"ts":1781739609058,"phase":"bump_detected","blockRms":0.10373494,"frozen":true}
{"ts":1781739609245,"phase":"bump_detected","blockRms":0.065306544,"frozen":true}
{"ts":1781739609263,"phase":"bump_detected","blockRms":0.11592697,"frozen":true}
{"ts":1781739609275,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-23.700867,"cancelledDb":-23.700867,"reductionDb":0.0,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":317.33334,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1487,"suggestedObserveSec":0}
{"ts":1781739609289,"phase":"bump_detected","blockRms":0.116065994,"frozen":true}
{"ts":1781739609489,"phase":"bump_detected","blockRms":0.16743673,"frozen":true}
{"ts":1781739609538,"phase":"bump_detected","blockRms":0.23336692,"frozen":true}
{"ts":1781739609696,"phase":"bump_detected","blockRms":0.062916785,"frozen":true}
{"ts":1781739609741,"phase":"bump_detected","blockRms":0.07046607,"frozen":true}
{"ts":1781739609878,"phase":"bump_detected","blockRms":0.23416376,"frozen":true}
{"ts":1781739609891,"phase":"bump_detected","blockRms":0.59107333,"frozen":true}
{"ts":1781739609904,"phase":"bump_detected","blockRms":0.46986946,"frozen":true}
{"ts":1781739610248,"phase":"bump_detected","blockRms":0.08799994,"frozen":true}
{"ts":1781739610267,"phase":"bump_detected","blockRms":0.20040111,"frozen":true}
{"ts":1781739610269,"phase":"bump_detected","blockRms":0.16921547,"frozen":true}
{"ts":1781739610281,"phase":"bump_detected","blockRms":0.1686623,"frozen":true}
{"ts":1781739610290,"phase":"bump_detected","blockRms":0.32304156,"frozen":true}
{"ts":1781739610293,"phase":"bump_detected","blockRms":0.32674,"frozen":true}
{"ts":1781739610663,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-24.740276,"cancelledDb":-24.740276,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":20,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":6.9306116E-4,"bandMidRatio":6.920781E-4,"bandHighRatio":0.99861485,"bandConfidence":0.99792176,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":0.0,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.025948375,"speedValid":true,"speedAccuracyM":5.612,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":317.33334,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.4166667,"latencyFrameworkMs":35.0}
{"ts":1781739610699,"phase":"bump_detected","blockRms":0.1225746,"frozen":true}
{"ts":1781739610864,"phase":"bump_detected","blockRms":0.11436883,"frozen":true}
{"ts":1781739610866,"phase":"bump_detected","blockRms":0.10957452,"frozen":true}
{"ts":1781739610935,"phase":"bump_detected","blockRms":0.13635683,"frozen":true}
{"ts":1781739610943,"phase":"bump_detected","blockRms":0.2584895,"frozen":true}
{"ts":1781739610958,"phase":"bump_detected","blockRms":0.15562443,"frozen":true}
{"ts":1781739611260,"phase":"bump_detected","blockRms":0.38446438,"frozen":true}
{"ts":1781739611262,"phase":"bump_detected","blockRms":0.3856062,"frozen":true}
{"ts":1781739611504,"phase":"profile_aging_detected","reason":"energy_drift","ageMs":29656,"driftRatio":62.92746605591872,"profileId":"skoda_octavia_2019"}
{"ts":1781739612445,"phase":"calibration","profileId":"skoda_octavia_2019","totalRead":4096,"avgEnergy":69.240478515625,"usedFallbackModel":false,"sHat":[-1.0, -0.98640424, -0.94472647, -0.8867705, -0.82701343, -0.77103794, -0.7130844, -0.6442786, -0.56301093, -0.4774982, -0.39842746, -0.32936877, -0.26425755, -0.19416262, -0.116373286, -0.037120353, 0.034522347, 0.095209785, 0.14997543, 0.20668234, 0.26810744, 0.3294471, 0.3833292, 0.4269866, 0.4641919, 0.4999607, 0.5335787, 0.55731225, 0.5628931, 0.5498289, 0.5275125, 0.5084426, 0.49826857, 0.49144033, 0.47646496, 0.44600666, 0.40284777, 0.3565176, 0.31404692, 0.27346796, 0.22600074, 0.16461721, 0.090879016, 0.013484453, -0.0599726, -0.13021708, -0.20520154, -0.2912684, -0.38413703, -0.46827263, -0.5259419, -0.5491222, -0.5445968, -0.5282724, -0.5135938, -0.5033548, -0.490816, -0.46792075, -0.43279254, -0.39015645, -0.34518152, -0.29716232, -0.23925035, 0.0],"acousticDelaySamples":1,"impulsePeakMagnitude":0.1254541,"resonancePeaksHz":[21000.0, 38250.0],"mimoZoneCount":4,"mimoZoneIds":["DRIVER", "PASSENGER_FRONT", "REAR_LEFT", "REAR_RIGHT"],"profileSaved":true,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","estimatedLatencyMs":316.93753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.020833334,"latencyFrameworkMs":35.0}
{"ts":1781739612456,"phase":"mimo_profile_applied","mimoEnabled":true,"mimoTrialEnabled":true,"zoneCount":4,"zoneIds":["DRIVER", "PASSENGER_FRONT", "REAR_LEFT", "REAR_RIGHT"],"driverFocused":false}
{"ts":1781739612457,"phase":"profile_recalibrated","profileId":"skoda_octavia_2019"}
{"ts":1781739612688,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-67.30379,"cancelledDb":-67.30379,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":1,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.2994359,"bandMidRatio":0.2260484,"bandHighRatio":0.4745157,"bandConfidence":0.1750798,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":9.037565,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.016606962,"speedValid":true,"speedAccuracyM":5.612,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":316.93753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.020833334,"latencyFrameworkMs":35.0}
{"ts":1781739612830,"phase":"bump_detected","blockRms":0.1867806,"frozen":true}
{"ts":1781739612836,"phase":"bump_detected","blockRms":0.45759258,"frozen":true}
{"ts":1781739612839,"phase":"bump_detected","blockRms":0.3519594,"frozen":true}
{"ts":1781739612866,"phase":"bump_detected","blockRms":0.47666347,"frozen":true}
{"ts":1781739612879,"phase":"bump_detected","blockRms":0.5013006,"frozen":true}
{"ts":1781739613608,"phase":"bump_detected","blockRms":0.05749263,"frozen":true}
{"ts":1781739614307,"phase":"test_step_snapshot","scriptId":"car_field_v3","stepId":"finish","stepTitle":"結束與匯出","stepIndex":13,"totalSteps":14,"rawDb":-77.145355,"cancelledDb":-77.145355,"reductionDb":0.0,"vehicleSpeedKmh":0.2016,"vehicleSpeedValid":true,"dominantNoiseBand":"MUSIC_BROAD","tier":"PRO","ancState":"MusicMode","estimatedLatencyMs":316.93753,"maxCancelFrequencyHz":35.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"elapsedSec":1492,"suggestedObserveSec":0}
{"ts":1781739614318,"phase":"bump_detected","blockRms":0.04933725,"frozen":true}
{"ts":1781739614326,"phase":"bump_detected","blockRms":0.10164339,"frozen":true}
{"ts":1781739614330,"phase":"bump_detected","blockRms":0.08330287,"frozen":true}
{"ts":1781739614690,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-68.471405,"cancelledDb":-68.471405,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":1,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.12321253,"bandMidRatio":0.12002436,"bandHighRatio":0.7567631,"bandConfidence":0.6335506,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":27.653355,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.01328557,"speedValid":true,"speedAccuracyM":5.867,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":316.93753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.020833334,"latencyFrameworkMs":35.0}
{"ts":1781739614884,"phase":"bump_detected","blockRms":0.026559057,"frozen":true}
{"ts":1781739615135,"phase":"bump_detected","blockRms":0.0381099,"frozen":true}
{"ts":1781739615145,"phase":"bump_detected","blockRms":0.0676577,"frozen":true}
{"ts":1781739615640,"phase":"bump_detected","blockRms":0.030442487,"frozen":true}
{"ts":1781739616274,"phase":"bump_detected","blockRms":0.072411366,"frozen":true}
{"ts":1781739616281,"phase":"bump_detected","blockRms":0.12417224,"frozen":true}
{"ts":1781739616287,"phase":"bump_detected","blockRms":0.051015437,"frozen":true}
{"ts":1781739616422,"phase":"bump_detected","blockRms":0.07888701,"frozen":true}
{"ts":1781739616860,"phase":"running_snapshot","guidedTestStepId":"finish","guidedTestActive":true,"rawDb":-75.2048,"cancelledDb":-75.2048,"reductionDb":0.0,"tier":"PRO","music":true,"call":false,"routeLabel":"android_auto_default","inputDevice":"Pixel 10 Pro Fold","outputDevice":"Pixel 10 Pro Fold","weightFrozen":false,"processingMode":"floor_noise_music","acousticDelaySamples":1,"cabinProfileId":"skoda_octavia_2019","dominantNoiseBand":"MUSIC_BROAD","bandLowRatio":0.10668579,"bandMidRatio":0.101269156,"bandHighRatio":0.79204506,"bandConfidence":0.68535924,"mimoZoneCount":4,"mimoTrialEnabled":true,"sirenOverride":false,"engineRpm":0.0,"engineRpmValid":false,"engineRpmSource":"unconfigured","mediaCaptureActive":false,"aecErleDb":12.437562,"mediaCorrelation":0.0,"playbackRefActive":false,"maxCancelFrequencyHz":35.0,"latencyLowGain":1.0,"latencyMidGain":0.0,"latencyHighGain":0.0,"latencyMidEnabled":false,"latencyHighEnabled":false,"speedKmh":0.010628456,"speedValid":true,"speedAccuracyM":5.739,"speedSource":"fused","noiseSource":"IDLE","estimatedLatencyMs":316.93753,"latencyRecordMs":140.29167,"latencyTrackMs":140.29167,"latencyBlockMs":1.3333334,"latencyAcousticMs":0.020833334,"latencyFrameworkMs":35.0}
{"ts":1781739616907,"phase":"bump_detected","blockRms":0.021118434,"frozen":true}
{"ts":1781739616913,"phase":"bump_detected","blockRms":0.06316418,"frozen":true}
{"ts":1781739617146,"phase":"bump_detected","blockRms":0.09479037,"frozen":true}
{"ts":1781739617166,"phase":"bump_detected","blockRms":0.089187495,"frozen":true}
{"ts":1781739617284,"phase":"bump_detected","blockRms":0.08828129,"frozen":true}
{"ts":1781739617298,"phase":"bump_detected","blockRms":0.06722354,"frozen":true}
{"ts":1781739618011,"phase":"bump_detected","blockRms":0.034094397,"frozen":true}
{"ts":1781739618422,"phase":"bump_detected","blockRms":0.015244829,"frozen":true}
{"ts":1781739618426,"phase":"bump_detected","blockRms":0.08914421,"frozen":true}
{"ts":1781739618436,"phase":"bump_detected","blockRms":0.07649197,"frozen":true}
{"ts":1781739618669,"phase":"bump_detected","blockRms":0.10321822,"frozen":true}
{"ts":1781739618688,"phase":"bump_detected","blockRms":0.10192709,"frozen":true}
{"ts":1781739618738,"phase":"bump_detected","blockRms":0.059290547,"frozen":true}
